ICON - Carteira do Dia 10/06/22
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Consumo Cíclico / Comércio;MGLU3;MAGAZ LUIZA;ON      NM;2.896.234.638;1,868;14,472;
Consumo Cíclico / Comércio;PETZ3;PETZ;ON      NM;336.154.589;0,851;14,472;
Consumo Cíclico / Comércio;LJQQ3;QUERO-QUERO;ON      NM;179.211.429;0,297;14,472;
Consumo Cíclico / Comércio;VIIA3;VIA;ON      NM;1.596.295.753;0,995;14,472;
Consumo Cíclico / Tecid Vest Calç;ALPA4;ALPARGATAS;PN      N1;201.257.220;0,854;1,997;
Consumo Cíclico / Tecid Vest Calç;GRND3;GRENDENE;ON      NM;267.057.056;0,466;1,997;
Consumo Cíclico / Tecid Vest Calç;TECN3;TECHNOS;ON      NM;48.844.410;0,026;1,997;
Consumo Cíclico / Tecid Vest Calç;VIVA3;VIVARA S.A.;ON      NM;99.446.859;0,477;1,997;
Consumo Cíclico / Tecid Vest Calç;VULC3;VULCABRAS;ON      NM;73.766.391;0,174;1,997;
Consumo Cíclico/Autos e Motos;MYPK3;IOCHP-MAXION;ON      NM;137.561.133;0,486;0,688;
Consumo Cíclico/Autos e Motos;LEVE3;METAL LEVE;ON      NM;38.492.518;0,202;0,688;
Consumo Cíclico/Constr Civil;CURY3;CURY S/A;ON      NM;104.486.454;0,140;3,068;
Consumo Cíclico/Constr Civil;CYRE3;CYRELA REALT;ON      NM;281.609.283;0,767;3,068;
Consumo Cíclico/Constr Civil;DIRR3;DIRECIONAL;ON      NM;75.384.053;0,165;3,068;
Consumo Cíclico/Constr Civil;EVEN3;EVEN;ON      NM;199.399.963;0,207;3,068;
Consumo Cíclico/Constr Civil;EZTC3;EZTEC;ON      NM;101.618.236;0,334;3,068;
Consumo Cíclico/Constr Civil;GFSA3;GAFISA;ON      NM;118.208.091;0,034;3,068;
Consumo Cíclico/Constr Civil;HBOR3;HELBOR;ON      NM;65.306.596;0,040;3,068;
Consumo Cíclico/Constr Civil;JHSF3;JHSF PART;ON      NM;305.915.142;0,434;3,068;
Consumo Cíclico/Constr Civil;LAVV3;LAVVI;ON      NM;93.139.429;0,099;3,068;
Consumo Cíclico/Constr Civil;MTRE3;MITRE REALTY;ON      NM;54.034.454;0,060;3,068;
Consumo Cíclico/Constr Civil;MRVE3;MRV;ON      NM;294.647.234;0,554;3,068;
Consumo Cíclico/Constr Civil;PLPL3;PLANOEPLANO;ON      NM;66.384.300;0,034;3,068;
Consumo Cíclico/Constr Civil;TCSA3;TECNISA;ON      NM;50.442.218;0,023;3,068;
Consumo Cíclico/Constr Civil;TEND3;TENDA;ON      NM;96.139.516;0,089;3,068;
Consumo Cíclico/Constr Civil;TRIS3;TRISUL;ON      NM;83.225.626;0,062;3,068;
Consumo Cíclico/Constr Civil;VIVR3;VIVER;ON      NM;142.902.713;0,026;3,068;
Consumo Cíclico/Hotel e Restaur;BKBR3;BK BRASIL;ON      NM;272.582.179;0,401;0,504;
Consumo Cíclico/Hotel e Restaur;MEAL3;IMC S/A;ON      NM;264.997.832;0,103;0,504;
Consumo Cíclico/Viagens e Lazer;CVCB3;CVC BRASIL;ON      NM;224.231.429;0,472;1,182;
Consumo Cíclico/Viagens e Lazer;SMFT3;SMART FIT;ON      NM;243.804.766;0,710;1,182;
Diversos;ANIM3;ANIMA;ON      NM;272.810.577;0,298;12,042;
Diversos;COGN3;COGNA ON;ON      NM;1.828.106.676;0,999;12,042;
Diversos;CSED3;CRUZEIRO EDU;ON      NM;77.755.200;0,058;12,042;
Diversos;RENT3;LOCALIZA;ON      NM;594.670.317;6,741;12,042;
Diversos;LCAM3;LOCAMERICA;ON      NM;321.385.288;1,624;12,042;
Diversos;MOVI3;MOVIDA;ON      NM;133.201.362;0,455;12,042;
Diversos;SEER3;SER EDUCA;ON      NM;54.338.507;0,088;12,042;
Diversos;VAMO3;VAMOS;ON      NM;266.313.930;0,813;12,042;
Diversos;YDUQ3;YDUQS PART;ON      NM;300.833.122;0,966;12,042;
Saúde/Comércio Distr.;BLAU3;BLAU;ON      NM;31.393.939;0,171;8,668;
Saúde/Comércio Distr.;PNVL3;DIMED;ON      NM;71.745.377;0,162;8,668;
Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;410.253.528;3,400;8,668;
Saúde/Comércio Distr.;PGMN3;PAGUE MENOS;ON      NM;157.843.200;0,196;8,668;
Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1.071.076.905;4,739;8,668;
Saúde/SM Hosp An.Diag;AALR3;ALLIAR;ON      NM;42.288.232;0,182;15,802;
Saúde/SM Hosp An.Diag;DASA3;DASA;ON      NM;70.772.973;0,273;15,802;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;303.373.882;0,981;15,802;
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;4.454.692.382;5,946;15,802;
Saúde/SM Hosp An.Diag;PARD3;IHPARDINI;ON      NM;41.617.930;0,173;15,802;
Saúde/SM Hosp An.Diag;MATD3;MATER DEI;ON      NM;81.073.044;0,153;15,802;
Saúde/SM Hosp An.Diag;ODPV3;ODONTOPREV;ON      NM;245.618.209;0,508;15,802;
Saúde/SM Hosp An.Diag;ONCO3;ONCOCLINICAS;ON      NM;135.788.449;0,138;15,802;
Saúde/SM Hosp An.Diag;QUAL3;QUALICORP;ON      NM;277.027.077;0,674;15,802;
Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON      NM;929.901.433;6,774;15,802;
Quantidade Teórica Total;;;;35.946.811.545;100,000;100,000
Redutor;;;;142.762.355,12925999
